HG00096	hap1	53
HG00096	hap2	77
HG00171	hap1	136
HG00171	hap2	57
HG00268	hap1	48
HG00268	hap2	72
HG00358	hap1	70
HG00358	hap2	36
HG00512	hap1	264
HG00512	hap2	119
HG00513	hap1	85
HG00513	hap2	70
HG00514	hap1	145
HG00514	hap2	107
HG00731	hap1	37
HG00731	hap2	51
HG00732	hap1	55
HG00732	hap2	149
HG00733	hap1	51
HG00733	hap2	64
HG00864	hap1	52
HG00864	hap2	45
HG01114	hap1	258
HG01114	hap2	64
HG01352	hap1	132
HG01352	hap2	47
HG01457	hap1	47
HG01457	hap2	53
HG01505	hap1	124
HG01505	hap2	78
HG01573	hap1	79
HG01573	hap2	80
HG01596	hap1	79
HG01596	hap2	66
HG01890	hap1	52
HG01890	hap2	77
HG02011	hap1	61
HG02011	hap2	82
HG02018	hap1	78
HG02018	hap2	57
HG02059	hap1	113
HG02059	hap2	46
HG02106	hap1	65
HG02106	hap2	60
HG02282	hap1	98
HG02282	hap2	121
HG02492	hap1	99
HG02492	hap2	110
HG02554	hap1	106
HG02554	hap2	152
HG02587	hap1	44
HG02587	hap2	61
HG02666	hap1	65
HG02666	hap2	38
HG02769	hap1	178
HG02769	hap2	174
HG02818	hap1	109
HG02818	hap2	129
HG02953	hap1	119
HG02953	hap2	55
HG03009	hap1	54
HG03009	hap2	38
HG03065	hap1	45
HG03065	hap2	123
HG03248	hap1	113
HG03248	hap2	61
HG03371	hap1	54
HG03371	hap2	31
HG03452	hap1	101
HG03452	hap2	187
HG03456	hap1	116
HG03456	hap2	205
HG03520	hap1	118
HG03520	hap2	97
HG03683	hap1	43
HG03683	hap2	75
HG03732	hap1	51
HG03732	hap2	89
HG03807	hap1	73
HG03807	hap2	68
HG04036	hap1	76
HG04036	hap2	53
HG04217	hap1	53
HG04217	hap2	89
NA12329	hap1	72
NA12329	hap2	42
NA18534	hap1	70
NA18534	hap2	112
NA18939	hap1	107
NA18939	hap2	81
NA18989	hap1	128
NA18989	hap2	82
NA19036	hap1	57
NA19036	hap2	70
NA19129	hap1	63
NA19129	hap2	43
NA19238	hap1	94
NA19238	hap2	89
NA19239	hap1	55
NA19239	hap2	63
NA19240	hap1	76
NA19240	hap2	63
NA19317	hap1	55
NA19317	hap2	33
NA19331	hap1	121
NA19331	hap2	71
NA19347	hap1	65
NA19347	hap2	45
NA19384	hap1	104
NA19384	hap2	105
NA19434	hap1	102
NA19434	hap2	73
NA19650	hap1	65
NA19650	hap2	39
NA19705	hap1	70
NA19705	hap2	37
NA19836	hap1	104
NA19836	hap2	74
NA19983	hap1	65
NA19983	hap2	65
NA20355	hap1	105
NA20355	hap2	63
NA20509	hap1	71
NA20509	hap2	68
NA20847	hap1	100
NA20847	hap2	75
NA21487	hap1	134
NA21487	hap2	65
NA24385	hap1	64
NA24385	hap2	63
